street	direction	days_list	hours	limits	days	weekdays	start_time	end_time	simple_rules	street_geometry
Abbett St	West	M and Th	1:00 PM to 3:00 PM	Ferry St to Booraem Av	"mo", "th"	["mo", "th"]	13:00	15:00	"properties": {"street_name": "Abbett","street_suffix": "St","sign_title": "Street Sweeping","start_time": 13,"end_time": 15,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.050544500350938,40.740347696993148],[-74.05009388923645,40.740837465645967]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.050061702728257,40.740876077958994],[-74.049900770187364,40.741058978084681]]}}]}
Abbett St	East	Tu and F	1:00 PM to 3:00 PM	Ferry St to Booraem Av	"tu", "fr"	["tu", "fr"]	13:00	15:00	"properties": {"street_name": "Abbett","street_suffix": "St","sign_title": "Street Sweeping","start_time": 13,"end_time": 15,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.05047744512558,40.740258278260612],[-74.050024151802063,40.740784627707583]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.0499597787857,40.7408496590104],[-74.049820303916917,40.741002075877248]]}}]}
Academy St	North	M and Th	3:00 PM to 5:00 PM	Fremont St to Van Reypen St	"mo", "th"	["mo", "th"]	15:00	17:00	"properties": {"street_name": "Academy","street_suffix": "St","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.065935015678392,40.729490571363272],[-74.066954255104065,40.730189773223216]]}}]}
Academy St	South	Tu and F	3:00 PM to 5:00 PM	Fremont St to Van Reypen St	"tu", "fr"	["tu", "fr"]	15:00	17:00	"properties": {"street_name": "Academy","street_suffix": "St","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.065913558006272,40.729301541691818],[-74.064934551715851,40.7286145261057]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.064856767654419,40.728535254620112],[-74.0636470913887,40.727732371431664]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.062735140323639,40.72707176407598],[-74.063526391983032,40.7276429357427]]}}]}
Alan Ter	South	M and Th	8:00 AM to 10:00 AM	Chestnut Av to Waldo Av	"mo", "th"	["mo", "th"]	8:00	10:00	"properties": {"street_name": "Alan","street_suffix": "Ter","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.0579205751419,40.728368580932148],[-74.056633114814758,40.72742544390664]]}}]}
Alan Ter	North	Tu and F	8:00 AM to 10:00 AM	Chestnut Av to Waldo Av	"tu", "fr"	["tu", "fr"]	8:00	10:00	"properties": {"street_name": "Alan","street_suffix": "Ter","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.057754278182983,40.728474276490026],[-74.056525826454163,40.7275189451569]]}}]}
Albert Pl	West	M and Th	3:00 PM to 5:00 PM	Linden Av to dead end	"mo", "th"	["mo", "th"]	15:00	17:00	"properties": {"street_name": "Albert","street_suffix": "Pl","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.090402126312256,40.693719851820724],[-74.091078042984009,40.693394464393783]]}}]}
Albert Pl	East	Tu and F	3:00 PM to 5:00 PM	Linden Av to dead end	"tu", "fr"	["tu", "fr"]	15:00	17:00	"properties": {"street_name": "Albert","street_suffix": "Pl","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.091024398803711,40.693304982572776],[-74.090332388877869,40.693622235759491]]}}]}
Apollo St	West	M and Th	3:00 PM to 5:00 PM	Duncan Av to dead end	"mo", "th"	["mo", "th"]	15:00	17:00	"properties": {"street_name": "Apollo","street_suffix": "St","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.075784087181077,40.726266830557968],[-74.076250791549683,40.725683450938547]]}}]}
Apollo St	East	Tu and F	3:00 PM to 5:00 PM	Duncan Av to dead end	"tu", "fr"	["tu", "fr"]	15:00	17:00	"properties": {"street_name": "Apollo","street_suffix": "St","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.075725078582764,40.726236340460609],[-74.076175689697266,40.725652960573917]]}}]}
Arlington Av	West	M and Th	8:00 AM to 10:00 AM	Communipaw Av to Bayview Av	"mo", "th"	["mo", "th"]	8:00	10:00	"properties": {"street_name": "Arlington","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.069153666496277,40.715879062542072],[-74.0694272518158,40.715423671239378]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.069620370864854,40.715057729542458],[-74.069711565971375,40.714878823980818]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.0697705745697,40.714797503112045],[-74.070703983306885,40.713179197167584]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.07082200050354,40.71302874964173],[-74.071712493896484,40.712060997970752]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.071900248527527,40.711849554556856],[-74.072468876838684,40.711284346750354],[-74.073793888092041,40.710353166591659],[-74.074394702911363,40.70924305270583]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.074491262435913,40.709060065123779],[-74.075349569320679,40.707417220754444]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.075446128845215,40.7072423611703],[-74.076368808746324,40.7056238715999]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.076460003852844,40.705477473618551],[-74.077200293540955,40.704745478884668]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.07732367515564,40.704619412312844],[-74.078139066696167,40.70381827400572]]}}]}
Arlington Av	East	Tu and F	8:00 AM to 10:00 AM	Communipaw Av to Bayview Av	"tu", "fr"	["tu", "fr"]	8:00	10:00	"properties": {"street_name": "Arlington","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.0779834985733,40.703692205678841],[-74.0771895647049,40.704517745548848]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.07706081867218,40.704639745647007],[-74.076282978057861,40.705392074647477]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.076143503189087,40.705550672649451],[-74.075258374214172,40.707177297021794]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.075167179107666,40.707311491758453],[-74.07432496547699,40.708995002751216]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.0742176771164,40.709153592172996],[-74.073638319969177,40.710231176959866],[-74.072281122207642,40.711194888959916],[-74.071766138076782,40.711735700132806]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.071556925773621,40.711930879026269],[-74.070666432380676,40.712967757304661]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.070553779602051,40.713093808073],[-74.069657921791077,40.714655191352676]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.069545269012451,40.7148218993831],[-74.069384336471558,40.715102455857767]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.069250226020813,40.715370813118575],[-74.0690141916275,40.715740819083017]]}}]}
Armstrong Av	North	M and Th	10:00 AM to 12:00 PM	Garfield Av to Bergen Av	"mo", "th"	["mo", "th"]	10:00	12:00	"properties": {"street_name": "Armstrong","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 10,"end_time": 12,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.082038998603821,40.698824159079457],[-74.083428382873535,40.7003736761694]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.083578586578369,40.700511951533258],[-74.085091352462754,40.701496138477786]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.085268378257751,40.7016100104088],[-74.086453914642334,40.702362373632269]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.086571931838989,40.702455910087707],[-74.087821841239929,40.703269265032709]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.087972044944749,40.703379067189331],[-74.0892595052719,40.704208677633289]]}}]}
Armstrong Av	South	Tu and F	10:00 AM to 12:00 PM	Garfield Av to Bergen Av	"tu", "fr"	["tu", "fr"]	10:00	12:00	"properties": {"street_name": "Armstrong","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 10,"end_time": 12,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.0821784734726,40.698746885630122],[-74.083535671234131,40.700247601322765]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.083707332611084,40.700406211574943],[-74.085214734077454,40.701422934990752]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.08531665802002,40.701483937902189],[-74.086582660675049,40.70231357195118]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.086652398109436,40.702370507242314],[-74.087939858436584,40.703208263756352]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.088065922260284,40.703307899145493],[-74.089345335960388,40.704133443778893]]}}]}
Armstrong Av	South	M and Th	3:00 PM to 5:00 PM	Kennedy Blvd to West Side Av	"mo", "th"	["mo", "th"]	15:00	17:00	"properties": {"street_name": "Armstrong","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.090160727500916,40.704812578736892],[-74.092880487442017,40.706664914630863]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.0930038690567,40.706752345238414],[-74.095838963985443,40.708645291409518]]}}]}
Armstrong Av	North	Tu and F	3:00 PM to 5:00 PM	Kennedy Blvd to West Side Av	"tu", "fr"	["tu", "fr"]	15:00	17:00	"properties": {"street_name": "Armstrong","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.090085625648484,40.704891878475067],[-74.092759788036346,40.706703546773944]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.092904627323151,40.706815376535452],[-74.095753133296967,40.708722553375623]]}}]}
Ash St	South	M and Th	10:00 AM to 12:00 PM	Johnson Av to Pine St	"mo", "th"	["mo", "th"]	10:00	12:00	"properties": {"street_name": "Ash","street_suffix": "St","sign_title": "Street Sweeping","start_time": 10,"end_time": 12,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.058430194854736,40.715395209179533],[-74.057856202125535,40.714925583435374]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.057778418064117,40.714844262623721],[-74.057182967662811,40.714362434776895]]}}]}
Ash St	North	Tu and F	10:00 AM to 12:00 PM	Johnson Av to Pine St	"tu", "fr"	["tu", "fr"]	10:00	12:00	"properties": {"street_name": "Ash","street_suffix": "St","sign_title": "Street Sweeping","start_time": 10,"end_time": 12,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.057805240154266,40.71499064001317],[-74.058341681957245,40.715419605231581]]}}]}
Astor Pl	South	M and Th	8:00 AM to 12:00 PM	Monticello Av to Summit St	"mo", "th"	["mo", "th"]	8:00	12:00	"properties": {"street_name": "Astor","street_suffix": "Pl","sign_title": "Street Sweeping","start_time": 8,"end_time": 12,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.071165323257446,40.719318792645126],[-74.06983494758606,40.718735352124291]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.069741070270524,40.718682496632866],[-74.0685126185417,40.7181763015317]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.0684026479721,40.718127511439057],[-74.067772328853607,40.717865264078391],[-74.0675738453865,40.717820539619211]]}}]}
Astor Pl	North	Tu and F	8:00 AM to 12:00 PM	Monticello Av to Summit St	"tu", "fr"	["tu", "fr"]	8:00	12:00	"properties": {"street_name": "Astor","street_suffix": "Pl","sign_title": "Street Sweeping","start_time": 8,"end_time": 12,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.068432152271257,40.718261684107773],[-74.069665968418121,40.718753648246171]]}},{"type":"Feature","properties":{},"geometry":{"type":"LineString","coordinates":[[-74.069802761077867,40.718814635282747],[-74.071143865585327,40.719416371048439]]}}]}
